id	plain_name	bucket	enforcement_or_sketch	evidence
97326357	Surface-capability claims need a live test first	J	Epistemic discipline; can't mechanically verify 'was this actually tested live'.	rule_controls session_task_rail? not listed -- confirmed absent, default judgment.
5d44d3f3	Verification backfill: whole book researched once, stamped	U	A verified_at/verified_source column plus a view (like v_expired_verification) flags unstamped records; could refuse using an unstamped record in a decision.	Partially implied by existing v_expired_verification pattern in the record layer per other rules' text.
d26d63b0	New contact -> deep research pass before asking the partner	J	Research-completeness judgment (what counts as exhausted).	Not in map.
d5dcfe26	Check for later amendments; find decisions by behavior not label	J	Requires judgment about which later ruling supersedes an earlier memo.	Not in map.
2b889e80	No negative finding from a single collection	J	Requires knowing which collections exist for a given claim and checking all.	Not in map.
81709f57	Red team = distinct lenses, one seat re-runs the evidence	J	Panel-composition and seat-diversity judgment.	Not in map.
c20dc3d5	Escalation contract: evidence travels up, re-run before acting	J	Requires judging materiality (would acting on this write/spend/send/change a decision).	Not in map.
2e362970	New implementation -> research pass before building	J	Judgment on what counts as 'first of its kind here'.	Not in map.
94806da2	Read raw bytes for anything durable; a fetch summary is not enough	U	Gate any teach/log-decision/write-doctrine-section call whose cited source was only touched by WebFetch this turn; require a raw-read tool call first.	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: still unbuilt; the only tree reference is design-rationale prose. [mention-only: hooks/guard-unattended.py]
49c627cc	Match verb behavior, not column name, before claiming a gap	J	Research-discipline judgment.	Not in map.
faf1b643	Vendor levels defined by countable events, not impression	P	versioned_record write path exists on level updates; the counting logic itself is a computed view (v_vendor_level_suggestion) that flags disagreement, it does not deny a wrong manual level.	rule_controls: transactional_schema/versioned_record, but content (countable-event definition) is only advisory at the point of a manual override.
ca841807	Findings/records go to DB, never markdown (narrative/doctrine exempt)	E	record-home-gate.py -- PreToolUse DENY on Write/Edit/MultiEdit to markdown outside the machine-required manifest.	Hook file read directly; docstring confirms PreToolUse deny gate exists and matches this rule's content exactly.
54e2bcb9	A CARR agent's own contact info in a client field is a placeholder	E	versioned_record write path refuses known placeholder values (Dell's phone/email) on identity-field writes.	rule_controls: transactional_schema, exceptions note 'CARR placeholder values refused' -- specific value-level refusal.
4c21d86b	Survivorship rule for duplicate-party merges (which row wins)	P	confirm-merge is humanOnly (gated to a verified partner), but WHICH row should win per this rule's precedence order is not itself checked -- a human could still pick wrong.	No schema check on merge direction; only the human-only gate on the act of merging exists.
c53beeaa	ok:true confirms parse only; re-read the row after long-text writes	P	base_version conflict detection exists on writes, but that catches stale concurrent writes, not parameter-swallowing corruption (malformed tags absorbed into a field) -- mismatch.	rule_controls: transactional_schema/versioned_record; the actual defect this rule targets is a different failure mode than what version_conflict catches.
d7e6de46	won_value (client benefit) and commission must never share a field	E	deal_guard schema separation between won_value and commission/gross_amount fields, reported separately by the attribution view.	rule_controls: transactional_schema/deal_guard, migrations 0079/0091 cited by name.
7105955b	Renumbered/superseded loop closes 'dropped' and says why, first words	U	loop-close verb could require a superseded_by/renumber field when the closer selects a bookkeeping reason, refusing a bare 'dropped' with no linked successor row.	No existing check beyond the free-text outcome field.
5409731b	New trigger -> grant-check every table it reads, as the firing role	U	A CI class that greps new/changed trigger bodies (migrations) for table reads and asserts a matching GRANT exists for the role that will fire it, rehearsed as that role.	rule_controls cites 'migration grant probes' as a test but this is a described intent, not verified to exist as a running CI check this session.
424ba0cc	Cold/paused clients leave the active book, never pestered	J	Relationship-management judgment (when is a client actually ghosting).	Not in map.
4dd44fd7	LOIs/letters go out Word; spreadsheets go out PDF	U	Document-prep tooling could hard-enforce output format by template type, refusing a .pdf export request on an LOI template.	No existing check confirmed this session.
4399df76	Every LOI term is negotiable; template values are placeholders	J	Requires judging what is 'common' vs policy, and the sample size behind that judgment.	Not in map.
f92dfab2	Every search packet includes sourced market commentary	U	Packet-render check: refuse to render properties.json into a client packet if the findings/confirmations blocks are empty.	No existing check confirmed this session.
9f15f21a	National account modelling: franchise=1 account, franchisee=own client/deal	P	deal_guard schema shape (client_type national_account, deal attaches to franchisee) supports this once modeled correctly; nothing prevents the initial mis-modeling (13 duplicate org rows happened before this was caught).	rule_controls: transactional_schema/deal_guard, 'national/market separation' exception noted.
e7a620cc	Every session carries the Dr. CRE persona (Doc), 10 always-on laws	J	Persona/tone judgment across every interaction; largely unenforceable in prose.	Not in map.
ede4c735	writing-rules binds prospect-visible surfaces only; internal exempt	E	lint-gate.py's surface_for() function plus an 'INTERNAL BY CONSTRUCTION' path list implements exactly this boundary in code.	Read lint-gate.py and tools/writing-lint.py directly; the prospect-visible/internal split is a real, working code boundary, not just doctrine.
412d37d3	HIPAA is always spelled HIPAA	E	Add a one-line HARD regex to tools/writing-lint.py's vocab table matching 'HIPPA' (case-insensitive).	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: BUILT. tools/writing-lint.py carries HARD rule 'hipaa-spelling' matching 'hippa' case-insensitively, the exact one-line regex this row sketched.
51d9f05f	Prospects are healthcare experts unfamiliar with CRE; educational tone	J	Tone judgment.	Not in map.
725dff46	Vendor network is the TEAM's, never Dell's alone	E	"tools/writing-lint.py 'dell-attribution' HARD rule refuses phrasing like ""Dell's X years/network/experience"" or ""Dell brings"" on any prospect-visible write."	Read writing-lint.py directly; rule id 'dell-attribution', severity HARD, matches this taught rule's content exactly. CLAUDE.md itself calls this 'hard since 2026-07-16.'
ce12c11e	Lead with the no-conflict tenant/buyer-only hook	J	Messaging/positioning judgment.	Not in map.
f5bac101	Early-stage: prioritize prospecting over polish	J	Prioritization judgment.	Not in map.
1b8e7f43	A blocked action is filed, never dropped (chat is not a record)	J	The omission of ever calling add-loop cannot be gated -- there is no tool call to deny. (When a loop IS filed, its shape is separately gated by rule 647f843d's loop_guard.)	No mechanism can force a tool call that never happens.
a8c55a47	A manual path and an automated path doing the same job must be the same code	U	CI lint: grep .md docs for raw shell commands that duplicate a bin/*.sh wrapper's behavior; flag drift between the two.	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: no drift check exists; the fourteen tree references are all header prose citing this rule as the reason two doors share one module. [mention-only: hooks/bash-write-gate.py, hooks/gate-edit-gate.py, hooks/gate_paths.py, hooks/guard-unattended.py, hooks/loose-work-gate.py, hooks/md_manifest.py, hooks/record-home-gate.py, hooks/scheduled-run-record.py, hooks/staging-attribution-gate.py, hooks/worktree-self-plumb.py, ops/bash-write-gate-selftest.py, ops/codex-hook-smoke-selftest.py, ops/run-scheduled-selftest.py, ops/scheduled-run-record-selftest.py]
61551180	A present threat outranks a possible future use when reversible	J	Security/business tradeoff judgment (live vs speculative, reversible vs not).	Not in map.
17ffd587	No lead-outreach reminders on any glanceable surface	U	Render-time filter: heartbeat/Monday-brief generator template could assert zero lead_id rows in its own output before publishing.	No existing check confirmed this session.
6a4e6283	Independent verification before anything client-facing/public ships	J	Staffing/process judgment on who verifies and whether the exemption (single draft, line-by-line) applies.	Not in map.
708c2150	Risk colors (green/yellow/red) on every automation, red always ends at Joe	U	Automation-registration schema could require a risk_color field at creation time, refusing to schedule a task without one.	No existing check confirmed this session.
b1521526	Source-truth hierarchy on conflict (Joe live > SOT file > newer dated file)	J	Requires judging which source is actually 'Joe live' vs stale vs authoritative in a specific conflict.	Not in map.
c1547ed1	The placement test: repo vs vault vs both, state why	J	Architecture judgment for every new workflow/system/asset.	Not in map.
f04a05aa	Autonomous runs need done-condition, failure path, watched run, ledger	P	completion-evidence-gate.py Stop hook checks completion claims after the fact; does not verify a done-condition was DEFINED at creation.	rule_controls: post_action_verification/completion_evidence -- mismatch between build-time intent and after-the-fact check.
b587f6c2	When to convene a frontier-model council (3-condition test)	J	Judgment-heavy decision procedure (no deterministic verifier / wide option space / expensive reversal).	Not in map.
590b11e1	No metric without a bound action (health rows must name the response)	U	CI check on tools/health-check.py diffs: any new alert/threshold/WARN line must contain an 'on breach:' clause naming the consumer, else CI fails.	rule_controls lists post_action_verification/completion_evidence, but that checks task-completion claims, not metric-authoring shape -- mismatch; a direct diff-time check is concrete and buildable.
f0f9156e	Optimize for mobility; privacy is presented, never a silent default	J	Architecture-fork judgment (present the tradeoff, Joe decides).	Not in map.
0e22e34a	3-4 folder levels deep max; no final_v2 naming	U	Periodic sweep script greps for depth>4 paths and _v2/_final-style filenames, flags them.	No existing check confirmed this session (00_Context/sweep-sop.md exists but per rule 1fddcffb's enforcement it's process, not verified as an automated check).
1fddcffb	Core routing test: always-read core holds only what every session needs	J	Judgment on what counts as 'needed regardless of task'.	Not in map.
99e951b9	Index upkeep: INDEX.md updated same session as changes	U	pre-commit check: if a commit adds a file under a multi-folder category, the same commit's diff must also touch that folder's INDEX.md.	No existing check confirmed this session.
a3f6c7f9	Diagnose before restructuring: cite a real slow task, not hypothetical	J	Requires evaluating whether a cited task was genuinely slow.	Not in map.
b01edd26	No hardcoded counts/self-summaries a later edit can falsify	P	ops/stale-count-check.py flags a count over an OPEN-ENDED window (has failed N times / N occurrences / currently N / N times since <date>) in every tracked source and doc file; ops/stale-count-selftest.py asserts the repository stays clean, so a new one fails CI.	BUILT 2026-08-15 after this rule was broken four times inside the enforcement layer in two days, each needing its own pull request, with three hand passes still missing a fifth site. Supersedes this row's earlier re-verification, which was correct at the time: the two gates then named the rule only in header prose. rule_controls now: post_action_verification/stale_count. Scope is deliberately narrower than this row's original sketch — flagging any number+noun returned 173 hits of ordinary prose and would have been muted; a count over a CLOSED window stays true and is not flagged.
fb2b263d	Cross-references at the point of change; grep old text before declaring propagated	J	Requires knowing what other files reference the changed content.	Not in map.
fc4d7753	Merit tests for structure decisions (real need, smallest structure, output as tiebreaker)	J	Structural-design judgment.	Not in map.
14181e60	Database first; markdown only where a machine requires a file	E	record-home-gate.py -- PreToolUse DENY on Write/Edit/MultiEdit to .md outside the machine-required manifest.	Hook file read directly; matches rule content exactly (same gate underlies ca841807).
b42f11a0	Build for the trajectory, not the snapshot	J	Sizing/scope judgment against a stated future load.	Not in map.
f5d97b4a	CoStar driven only in the Claude desktop Browser pane, never Chrome	E	PreToolUse deny on claude-in-chrome navigate/computer tools when target URL host matches costar.com.	Re-triaged 2026-08-15: BUILT, by the session that built it. hooks/costar-lane-gate.py is a PreToolUse deny on mcp__claude-in-chrome__.* refusing any call whose target host is costar.com or a subdomain, matching on host position so a search query, path or filename containing the string passes. The sanctioned mcp__Claude_Browser__* pane is deliberately not matched and is asserted ALLOWED on the same URLs. 38 fixtures in ops/costar-lane-gate-selftest.py, written before the gate.
8aefcdce	Copilot = Microsoft-native; Claude = everything else	J	Division-of-labor judgment, not a single detectable action.	Not in map.
4f7c348f	Every session recites both rule files, states the counts	P	session-brief.py injects the recitation directive at boot; nothing checks the session actually complied or stated the right counts.	rule_controls: session_task_rail/session_boot -- rail supplies instruction, no verification of compliance.
4a9188f3	Teach-capture triggers: 7 triggers, capture at event not at close	P	ledger-sweep.py Stop hook checks the last human turn against known trigger patterns and reminds if nothing was logged since.	rule_controls: session_task_rail/ledger_capture -- a real, fairly sophisticated Stop-hook reminder, but it warns rather than denies (failure_mode: 'Stop reminder').
f47a8fe9	Four verification failures + 'verify by re-running the query' habit	J	Epistemic/research discipline; requires judging what a partial collection missed.	Not in map.
73381d78	A config file read by two parsers has two contracts	U	CI check enumerating every known consumer of a shared config file (grep -rn for the filename) and testing each still parses after any format change.	No existing check confirmed this session; concrete given the rule's own worked example (db.env).
f2d58a30	Every client-facing recommendation names one thing we would not do	U	Document-render check: client packet/proposal/LOI-recommendation templates refuse to render with an empty 'declined and why' block.	No existing check confirmed this session.
48083552	Discovery before solving in every client and prospect meeting	J	In-person conversational discipline; unenforceable by any code gate.	Not in map.
581cb3fe	CEO seat operating contract: every finding gets DONE/FILED/DECIDED/DECLINED	U	Extend the disposition idea into a Stop-hook check: parse subagent findings in the transcript and require each be tagged with one of the four states before the turn can end.	rule_controls lists session_task_rail/conduct_stop (state supply only); a hard disposition check does not yet exist despite being clearly specifiable.
015183f5	Operate procedurally: define by decision procedure, not description	J	Meta-rule about reasoning style; the rule-shape gate checks trigger/audit-signal shape for PROACTIVE rules but not this general procedural-definition discipline.	rule_controls: session_task_rail/conduct_stop -- but conduct-stop-gate.py targets offload phrasing, not procedural-definition quality; mismatch.
4e104d4c	A newly deployed verb is reachable immediately via call-verb	P	completion-evidence-gate.py Stop hook catches a false 'the deploy failed' completion claim after the fact.	rule_controls: post_action_verification/completion_evidence.
2a3ff869	Microsoft formats (docx/pptx/xlsx) default for client/company docs	U	Document-generation tooling could default every client-doc template to Microsoft format and refuse a Google-native export path absent an explicit override.	No existing check confirmed this session.
0f38532e	Single source of truth; a second copy is a future contradiction	J	Architecture judgment (what counts as 'the one home').	Not in map.
61c64d91	Twin readiness: every new asset gets a tier at creation	U	Asset-creation verbs (new-doctrine-doc etc.) could require a non-null tier field, refusing creation without one.	No existing check confirmed this session.
def3e84e	Artifact tombstones: nothing silently rots (mark superseded, don't delete)	U	A 'supersede' path on generated artifacts could require writing the _TO_DELETE marker and queuing add-loop before the old artifact can be overwritten.	No existing check confirmed this session.
388cc81e	Match threshold: a lone surname never merges two records	U	Merge-candidate generator could require 2+ corroborating fields before a pair is even surfaced for confirm-merge, refusing single-field candidates.	confirm-merge itself is humanOnly-gated (a person decides), but the CANDIDATE GENERATION step that feeds it is not checked for the 2-field threshold this rule sets.
df8f1da0	Assessment vs action: an opinion request is not a work order	J	Requires reading whether 'what do you think' was rhetorical or an order.	Not in map.
2dbb0ad8	Subagents: cost is the gate, not novelty	P	delegation-gate.py task-sticky control.	rule_controls: session_task_rail/delegation_tripwire.
9873a0d2	Promotion watch: propose skill promotion, never convert silently	J	Pattern-recognition judgment (did a partner re-explain the same 'how' twice).	Not in map.
9e3fb6d0	Shared industry content: ingest substance + observe craft, never copy layout	J	Requires judging the plagiarism/imitation boundary.	Not in map.
3578d799	Name verbs/system nouns in human words, not machine words	J	Naming-quality judgment; some known-bad patterns (e.g. 'ingest') could be lint-flagged but the general test ('would an outsider guess what it does') is not mechanical.	Not in map.
9ff56260	A command never names a private key path	E	guard-unattended.py -- PreToolUse DENY, rule 3: 'Reads of private key material'.	Hook file read directly; matches rule content exactly (this rule's own origin story is the incident that proved the gate works).
5697071b	Licensure is per-partner, not per-territory (Joe = FL only, expires on AL exam)	J	Legal/business-fact judgment with a stated expiry condition Joe must confirm.	Not in map.
c4a284b2	Start from observed practitioner convention, verify against the rule, never reverse	J	Research-methodology judgment.	Not in map.
006a7eaa	Show the finished thing; don't send a written request for permission	J	Persuasion-strategy judgment (is there an artifact to react to).	Not in map.
d9ce2b08	Solve the problem; don't settle for reporting it blocked	J	Diagnostic-effort judgment (was the fix actually checked before declaring blocked).	Not in map.
2e8b4840	A lead record and a client record for the same person are not a duplicate	U	Merge-candidate generator could hard-exclude any L-/C- pair that already shares a party_id from ever surfacing as a dup candidate.	No existing check confirmed this session; simple filter given the data model.
185013c6	Outside models are part of the delegation pool; cost tier is part of the choice	P	delegation-gate.py task-sticky control plus humanOnly verb refusal for machine credentials (teach/retire-rule/etc.).	rule_controls: session_task_rail/delegation_tripwire; the humanOnly half is genuinely enforced (schema-level), the model-selection-by-cost half is not.
a9ecd5b4	A check must compare the artifact against what it should be	P	completion-evidence-gate.py Stop hook.	rule_controls: post_action_verification/completion_evidence.
23ea0607	Salesforce phase is not authoritative for a deal already closed in the Deal Room	E	diff-salesforce-deals.py itself refuses/holds any backwards-from-closed phase row and prints it under 'HELD - backwards from closed'.	Rule's own text confirms this is a working, self-reporting guard already in the diff script, not merely a doctrine statement.
76a53dfe	A blocked markdown write is re-routed through the verbs, not hidden elsewhere	P	record-home-gate.py denies the vault write, but writing the same content to /tmp or the scratchpad is NOT blocked -- exactly the workaround the rule was written to close.	Rule's own text: 'a handoff packet was blocked from the vault, rewritten unchanged into the scratchpad, and delivered as the deliverable' -- i.e. the gate has a known open side door.
308ef1de	Two-writer discipline covers the git working tree (claim before switching branch)	E	git-writer-gate.py -- PreToolUse DENY on checkout/switch and on git add -A/-a/./commit -a when the tree is genuinely shared (another writer holds uncommitted changes).	Hook file read directly; matches rule content.
179be4b8	Follow-ups identified during a build get built in the same session, not parked	P	add-loop's DB check constraint (migration 0081) refuses vague blocker_detail text like 'later/revisit/tbd', which substantially covers this rule's 'no vague parking' intent even though it was taught for a different rule (647f843d).	Piggybacks on the loop_guard constraint; not a dedicated gate for THIS rule's specific 'could this session build it right now?' test.
43e2ef76	Plan the check before you build the thing	P	completion-evidence-gate.py Stop hook checks after the fact; does not verify a check was PLANNED before implementation started.	rule_controls: post_action_verification/completion_evidence -- mismatch between build-time intent and after-the-fact check.
fc21a431	Correction -> rule, on any correction, not just a draft edit	P	ledger-sweep.py Stop hook reminds when a correction-shaped turn passed with no teach/log-decision call.	rule_controls: session_task_rail/ledger_capture.
efbdfb1a	Knowing everything I know now: the deliberate second pass	J	Self-reflection judgment (is a materially simpler shape now visible); explicitly skipped for trivial work by the rule's own text.	Not in map.
a6e6ab4e	Check against the baseline, not only against the spec	P	completion-evidence-gate.py Stop hook.	rule_controls: post_action_verification/completion_evidence.
df55c398	Every delegated sweep carries a data-class boundary; a widened scope restates it	P	The worst-case violation (decrypting production SQL dumps with the age key) is independently blocked by guard-unattended.py's private-key-read denial; the brief-writing discipline itself (stating the boundary in prose) is not checked.	Overlaps with 9ff56260/faae6748's egress_guard for the credential case; no check on the BRIEF TEXT itself.
8cddc6ad	Renaming a shared row relabels every attached record; count first	U	A rename/update-vendor-style verb could require a pre-write COUNT(*) of foreign-key attachments, refusing an in-place rename when count>1 without an explicit re-point target.	No existing check confirmed this session; concrete, DB-level, and the rule's own incident (the Bryant Consultants near-miss) shows exactly what it would catch.
1f3a7372	A scheduled routine logs its findings to the record before it ends	U	Scheduler could check for a matching record-write tool call (add-loop/log-decision/etc.) in each task's own transcript before marking that run's completion signal, flagging silent completions.	No existing check confirmed this session.
af7de070	A permission-classifier block is not a denial; retry once before handover	U	Client-side retry wrapper: catch the specific classifier-error text and auto-retry the identical (idempotent) call once before ever surfacing a hand-over to chat.	No existing check confirmed this session; does not even need a hook, could be a harness-level retry.
647f843d	The deferral gate: a loop needs a real, named, external blocker	E	add-loop DB check constraint (migration 0081) refuses an open loop without blocker + specific blocker_detail, and rejects vague time-words ('later/tbd/revisit').	Rule's own text and rule_controls both confirm: 'the record cannot hold what the verb would not accept.'
aa411351	The escalation gate is drawn by audience, not difficulty	E	escalation-gate.py -- PreToolUse DENY on AskUserQuestion for internal-class calls.	Hook file read directly; matches rule content (Joe decides client-facing/public/money/irreversible; system decides everything internal).
e8868cbe	The 48-hour test is the system's acceptance criterion	J	Holistic system-quality judgment across many surfaces; no single gate can pass/fail this as a whole, though its own audit-signal count (conduct-gate fires) is trackable.	Not in map; too broad for one control.
d9874334	Prove it's permission, not throughput, before naming a capability blocker	U	add-loop could require, when blocker=capability, a logged 'smallest-request' retry attempt in blocker_detail before accepting the row.	rule_controls: session_task_rail/session_boot -- rail only; the specific probe-first test this rule demands is not itself checked.
740bb505	Projecting a long job: exclude dead time, include crash overhead, say which	J	Estimation-methodology judgment specific to each job's supervisor/retry design.	Not in map.
9530fb1c	Naming the right fix and not building it is the same failure as deferring it	J	Requires judging proportionality (is X actually worth building right now); the 'said X, did nothing' middle case could be partially text-scanned but with low precision.	Not in map.
347a9ca6	A session's name does not predict the work it will do	J	Reasoning-hygiene judgment (don't infer safety/risk from a session's title).	Not in map.
3a9dbafd	Never make a partner decode an ID; say what the thing is in plain words	E	PostToolUse/pre-send lint on partner-facing text: regex-flag a bare 8-hex rule id / loop #### / migration #### not immediately followed by a plain-language gloss; refuse send.	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: BUILT. hooks/chat-lint-gate.py flags bare ids pre-send and hooks/conduct-stop-gate.py raises 'bare_id' at Stop; it reopened a live turn on 2026-08-15, which is how this staleness was found.
eaa31ac5	Constraint: never claim HANDED OFF/SENT/DELIVERED without naming the recipient	P	completion-evidence-gate.py has a DELIVERY regex (delivered/sent/notified/handed off) and a NEGATED_DELIVERY check, so it partially catches this at Stop -- but it is corrective (after the sentence is written), not preventive.	rule_controls: hard_pre_action/completion_evidence; read completion-evidence-gate.py source directly, confirms DELIVERY/NEGATED_DELIVERY regexes exist.
dff58fef	Constraint: activate and execute, do not ask -- Joe's approval is standing	P	conduct-stop-gate.py Stop hook blocks the turn from ending on an approval-seeking close.	rule_controls: session_task_rail/conduct_stop -- corrective, not preventive.
e4d965d9	A refusal is a closed route, not a closed problem	J	Requires creative problem-solving to find a third option preserving the constraint.	Not in map.
847f9995	No unattended path may depend on an interactive credential	P	completion-evidence-gate.py Stop hook catches a false unattended-path completion claim after the fact; does not check CREDENTIAL DESIGN at build time.	rule_controls: post_action_verification/completion_evidence -- mismatch between build-time credential-design intent and after-the-fact claim check.
e065aa82	Internal decisions are the system's to make and record, not to park on Joe	E	Extend escalation-gate.py's internal/external classifier to also fire on add-loop calls carrying marker='decision', denying ones that fail the external-audience test.	Re-triaged 2026-08-15 by ops/audit-queue-freshness-check.py: BUILT. hooks/escalation-gate.py was extended 2026-08-14 to apply its audience test to add-loop calls carrying marker='decision', the async spelling this row asked for.
4fae20f4	A rate is not a baseline until you check what else is in the window	J	Statistical-reasoning judgment (does the window contain an intervention or migration).	Not in map.
cff429f5	A thin contact record is a research task, not a question for Joe	U	new-vendor/new-client verbs could refuse a blank company/category/market field without an attached research_attempted flag naming the sources checked.	No existing check confirmed this session.
d7c69aa6	A new name on the calendar is an intake trigger, not a calendar entry	U	Calendar-ingest pipeline could require, for any unmatched attendee email, an automatic mail-search + research pass before that run reports complete.	rule_controls: session_task_rail/session_boot -- rail states the policy; the actual trigger-chain is not yet wired as a gate.
bc9188b4	Every session commits its own work, including unattended/background runs	P	run.sh health carries an 'uncommitted work' row naming every loose tracked path and its age; git-writer-gate.py bans -A/-a/. ONLY when the tree is detected shared, not unconditionally as this rule demands.	Detection (health row) exists and is real, but it is a post-hoc REPORT, not a deny; the 'always commit before ending' half has no gate.
